NO,REGION,DISTRICT,TOWNSHIP,TS_PCODE,YEAR,P_KINDS,MATURE,SEASON,P_ACRE,H_ACRE,Y_ACRE,Y_TIN
103,Mandalay,Pyinoolwin,Takaung,MMR010012702,2017-2018,Emahta,Early,Hot,0,0,0,0
104,Mandalay,Kyaukse,Kyaukse,MMR010013,2017-2018,Emahta,Early,Hot,6393,0,0,0
105,Mandalay,Kyaukse,Sintgaing,MMR010014,2017-2018,Emahta,Early,Hot,4650,0,0,0
106,Mandalay,Kyaukse,Myittha,MMR010015,2017-2018,Emahta,Early,Hot,7193,0,0,0
107,Mandalay,Kyaukse,Tada_U,MMR010016,2017-2018,Emahta,Early,Hot,1557,0,0,0
108,Mandalay,Meiktila,Meiktila,MMR010028,2017-2018,Emahta,Early,Hot,152,0,0,0
109,Mandalay,Meiktila,Mahlaing,MMR010029,2017-2018,Emahta,Early,Hot,96,0,0,0
110,Mandalay,Meiktila,Thazi,MMR010030,2017-2018,Emahta,Early,Hot,2350,0,0,0
111,Mandalay,Meiktila,Wundwin,MMR010031,2017-2018,Emahta,Early,Hot,19929,0,0,0
112,Mandalay,Myingyan,Myingyan,MMR010017,2017-2018,Emahta,Early,Hot,939,0,0,0
113,Mandalay,Myingyan,Taungtha,MMR010018,2017-2018,Emahta,Early,Hot,418,0,0,0
114,Mandalay,Myingyan,Natogyi,MMR010019,2017-2018,Emahta,Early,Hot,137,0,0,0
115,Mandalay,Myingyan,Ngazun,MMR010021,2017-2018,Emahta,Early,Hot,31,0,0,0
116,Mandalay,Nyaung_U,Nyaung_U,MMR010022,2017-2018,Emahta,Early,Hot,292,0,0,0
117,Mandalay,Nyaung_U,Kyaukpadaung,MMR010020,2017-2018,Emahta,Early,Hot,526,0,0,0
118,Mandalay,Nyaung_U,Ngathayauk,MMR010022703,2017-2018,Emahta,Early,Hot,0,0,0,0
119,Mandalay,Yamethin,Yamethin,MMR010023,2017-2018,Emahta,Early,Hot,2793,0,0,0
120,Mandalay,Yamethin,Pyawbwe,MMR010024,2017-2018,Emahta,Early,Hot,685,0,0,0
121,Mandalay,Mandalay,Aungmyaythazan,MMR010001,2017-2018,Letyezin,Medium,Rain,0,0,0,0
122,Mandalay,Mandalay,Chanayethazan,MMR010002,2017-2018,Letyezin,Medium,Rain,0,0,0,0
123,Mandalay,Mandalay,Mahaaungmyay,MMR010003,2017-2018,Letyezin,Medium,Rain,0,0,0,0
124,Mandalay,Mandalay,Chanmyaythazi,MMR010004,2017-2018,Letyezin,Medium,Rain,0,0,0,0
125,Mandalay,Mandalay,Pyigyitagon,MMR010005,2017-2018,Letyezin,Medium,Rain,0,0,0,0
126,Mandalay,Mandalay,Amarapura,MMR010006,2017-2018,Letyezin,Medium,Rain,0,0,0,0
127,Mandalay,Mandalay,Patheingyi,MMR010007,2017-2018,Letyezin,Medium,Rain,0,0,0,0
128,Mandalay,Pyinoolwin,Pyinoolwin,MMR010008,2017-2018,Letyezin,Medium,Rain,0,0,0,0
129,Mandalay,Pyinoolwin,Madaya,MMR010009,2017-2018,Letyezin,Medium,Rain,0,0,0,0
130,Mandalay,Pyinoolwin,Singu,MMR010010,2017-2018,Letyezin,Medium,Rain,0,0,0,0
131,Mandalay,Pyinoolwin,Mogoke,MMR010011,2017-2018,Letyezin,Medium,Rain,0,0,0,0
132,Mandalay,Pyinoolwin,Thabeikkyin,MMR010012,2017-2018,Letyezin,Medium,Rain,1202,1202,79.89,96028
133,Mandalay,Pyinoolwin,Takaung,MMR010012702,2017-2018,Letyezin,Medium,Rain,0,0,0,0
134,Mandalay,Kyaukse,Kyaukse,MMR010013,2017-2018,Letyezin,Medium,Rain,0,0,0,0
135,Mandalay,Kyaukse,Sintgaing,MMR010014,2017-2018,Letyezin,Medium,Rain,0,0,0,0
136,Mandalay,Kyaukse,Myittha,MMR010015,2017-2018,Letyezin,Medium,Rain,0,0,0,0
137,Mandalay,Kyaukse,Tada_U,MMR010016,2017-2018,Letyezin,Medium,Rain,0,0,0,0
138,Mandalay,Meiktila,Meiktila,MMR010028,2017-2018,Letyezin,Medium,Rain,0,0,0,0
139,Mandalay,Meiktila,Mahlaing,MMR010029,2017-2018,Letyezin,Medium,Rain,0,0,0,0
140,Mandalay,Meiktila,Thazi,MMR010030,2017-2018,Letyezin,Medium,Rain,0,0,0,0
141,Mandalay,Meiktila,Wundwin,MMR010031,2017-2018,Letyezin,Medium,Rain,0,0,0,0
142,Mandalay,Myingyan,Myingyan,MMR010017,2017-2018,Letyezin,Medium,Rain,0,0,0,0
143,Mandalay,Myingyan,Taungtha,MMR010018,2017-2018,Letyezin,Medium,Rain,0,0,0,0
144,Mandalay,Myingyan,Natogyi,MMR010019,2017-2018,Letyezin,Medium,Rain,0,0,0,0
145,Mandalay,Myingyan,Ngazun,MMR010021,2017-2018,Letyezin,Medium,Rain,0,0,0,0
146,Mandalay,Nyaung_U,Nyaung_U,MMR010022,2017-2018,Letyezin,Medium,Rain,619,619,79.58,49263
147,Mandalay,Nyaung_U,Kyaukpadaung,MMR010020,2017-2018,Letyezin,Medium,Rain,4526,4526,63.64,288045
148,Mandalay,Nyaung_U,Ngathayauk,MMR010022703,2017-2018,Letyezin,Medium,Rain,0,0,0,0
149,Mandalay,Yamethin,Yamethin,MMR010023,2017-2018,Letyezin,Medium,Rain,0,0,0,0
150,Mandalay,Yamethin,Pyawbwe,MMR010024,2017-2018,Letyezin,Medium,Rain,0,0,0,0
151,Mandalay,Mandalay,Aungmyaythazan,MMR010001,2017-2018,Letyezin,Early,Rain,0,0,0,0
152,Mandalay,Mandalay,Chanayethazan,MMR010002,2017-2018,Letyezin,Early,Rain,0,0,0,0
153,Mandalay,Mandalay,Mahaaungmyay,MMR010003,2017-2018,Letyezin,Early,Rain,0,0,0,0
154,Mandalay,Mandalay,Chanmyaythazi,MMR010004,2017-2018,Letyezin,Early,Rain,0,0,0,0
155,Mandalay,Mandalay,Pyigyitagon,MMR010005,2017-2018,Letyezin,Early,Rain,0,0,0,0
156,Mandalay,Mandalay,Amarapura,MMR010006,2017-2018,Letyezin,Early,Rain,0,0,0,0
157,Mandalay,Mandalay,Patheingyi,MMR010007,2017-2018,Letyezin,Early,Rain,310,310,94.5,19195
158,Mandalay,Pyinoolwin,Pyinoolwin,MMR010008,2017-2018,Letyezin,Early,Rain,0,0,0,0
159,Mandalay,Pyinoolwin,Madaya,MMR010009,2017-2018,Letyezin,Early,Rain,3500,3500,96.25,336890
160,Mandalay,Pyinoolwin,Singu,MMR010010,2017-2018,Letyezin,Early,Rain,14691,14565,83.88,1221661
161,Mandalay,Pyinoolwin,Mogoke,MMR010011,2017-2018,Letyezin,Early,Rain,0,0,0,0
162,Mandalay,Pyinoolwin,Thabeikkyin,MMR010012,2017-2018,Letyezin,Early,Rain,3464,3464,82.5,285780
163,Mandalay,Pyinoolwin,Takaung,MMR010012702,2017-2018,Letyezin,Early,Rain,2779,2304,72.41,166827
164,Mandalay,Kyaukse,Kyaukse,MMR010013,2017-2018,Letyezin,Early,Rain,10587,10587,101.17,1071111
165,Mandalay,Kyaukse,Sintgaing,MMR010014,2017-2018,Letyezin,Early,Rain,1543,1543,99.12,152942
166,Mandalay,Kyaukse,Myittha,MMR010015,2017-2018,Letyezin,Early,Rain,22125,22125,103.62,2292592
167,Mandalay,Kyaukse,Tada_U,MMR010016,2017-2018,Letyezin,Early,Rain,7458,7458,95.25,710375
168,Mandalay,Meiktila,Meiktila,MMR010028,2017-2018,Letyezin,Early,Rain,7422,7422,70.95,526575
169,Mandalay,Meiktila,Mahlaing,MMR010029,2017-2018,Letyezin,Early,Rain,4494,4494,55.52,249495
170,Mandalay,Meiktila,Thazi,MMR010030,2017-2018,Letyezin,Early,Rain,36248,36107,67.5,2437240
171,Mandalay,Meiktila,Wundwin,MMR010031,2017-2018,Letyezin,Early,Rain,54883,54883,83.35,4574454
172,Mandalay,Myingyan,Myingyan,MMR010017,2017-2018,Letyezin,Early,Rain,1579,1579,80.32,126828
173,Mandalay,Myingyan,Taungtha,MMR010018,2017-2018,Letyezin,Early,Rain,2663,2657,85.74,227811
174,Mandalay,Myingyan,Natogyi,MMR010019,2017-2018,Letyezin,Early,Rain,14396,14396,67.75,975399
175,Mandalay,Myingyan,Ngazun,MMR010021,2017-2018,Letyezin,Early,Rain,4740,4740,82.78,392380
176,Mandalay,Nyaung_U,Nyaung_U,MMR010022,2017-2018,Letyezin,Early,Rain,10,10,89.3,893
177,Mandalay,Nyaung_U,Kyaukpadaung,MMR010020,2017-2018,Letyezin,Early,Rain,13670,13670,67.08,916932
178,Mandalay,Nyaung_U,Ngathayauk,MMR010022703,2017-2018,Letyezin,Early,Rain,0,0,0,0
179,Mandalay,Yamethin,Yamethin,MMR010023,2017-2018,Letyezin,Early,Rain,38749,38626,69.31,2677123
180,Mandalay,Yamethin,Pyawbwe,MMR010024,2017-2018,Letyezin,Early,Rain,34526,34505,66.24,2285451
181,Mandalay,Mandalay,Aungmyaythazan,MMR010001,2017-2018,Letyezin,Medium,Hot,0,0,0,0
182,Mandalay,Mandalay,Chanayethazan,MMR010002,2017-2018,Letyezin,Medium,Hot,0,0,0,0
183,Mandalay,Mandalay,Mahaaungmyay,MMR010003,2017-2018,Letyezin,Medium,Hot,0,0,0,0
184,Mandalay,Mandalay,Chanmyaythazi,MMR010004,2017-2018,Letyezin,Medium,Hot,0,0,0,0
185,Mandalay,Mandalay,Pyigyitagon,MMR010005,2017-2018,Letyezin,Medium,Hot,0,0,0,0
186,Mandalay,Mandalay,Amarapura,MMR010006,2017-2018,Letyezin,Medium,Hot,0,0,0,0
187,Mandalay,Mandalay,Patheingyi,MMR010007,2017-2018,Letyezin,Medium,Hot,0,0,0,0
188,Mandalay,Pyinoolwin,Pyinoolwin,MMR010008,2017-2018,Letyezin,Medium,Hot,0,0,0,0
189,Mandalay,Pyinoolwin,Madaya,MMR010009,2017-2018,Letyezin,Medium,Hot,0,0,0,0
190,Mandalay,Pyinoolwin,Singu,MMR010010,2017-2018,Letyezin,Medium,Hot,0,0,0,0
191,Mandalay,Pyinoolwin,Mogoke,MMR010011,2017-2018,Letyezin,Medium,Hot,0,0,0,0
192,Mandalay,Pyinoolwin,Thabeikkyin,MMR010012,2017-2018,Letyezin,Medium,Hot,632,0,0,0
193,Mandalay,Pyinoolwin,Takaung,MMR010012702,2017-2018,Letyezin,Medium,Hot,0,0,0,0
194,Mandalay,Kyaukse,Kyaukse,MMR010013,2017-2018,Letyezin,Medium,Hot,0,0,0,0
195,Mandalay,Kyaukse,Sintgaing,MMR010014,2017-2018,Letyezin,Medium,Hot,0,0,0,0
196,Mandalay,Kyaukse,Myittha,MMR010015,2017-2018,Letyezin,Medium,Hot,0,0,0,0
197,Mandalay,Kyaukse,Tada_U,MMR010016,2017-2018,Letyezin,Medium,Hot,0,0,0,0
198,Mandalay,Meiktila,Meiktila,MMR010028,2017-2018,Letyezin,Medium,Hot,0,0,0,0
199,Mandalay,Meiktila,Mahlaing,MMR010029,2017-2018,Letyezin,Medium,Hot,0,0,0,0
200,Mandalay,Meiktila,Thazi,MMR010030,2017-2018,Letyezin,Medium,Hot,0,0,0,0
201,Mandalay,Meiktila,Wundwin,MMR010031,2017-2018,Letyezin,Medium,Hot,0,0,0,0
202,Mandalay,Myingyan,Myingyan,MMR010017,2017-2018,Letyezin,Medium,Hot,0,0,0,0
203,Mandalay,Myingyan,Taungtha,MMR010018,2017-2018,Letyezin,Medium,Hot,0,0,0,0
204,Mandalay,Myingyan,Natogyi,MMR010019,2017-2018,Letyezin,Medium,Hot,0,0,0,0
205,Mandalay,Myingyan,Ngazun,MMR010021,2017-2018,Letyezin,Medium,Hot,0,0,0,0
206,Mandalay,Nyaung_U,Nyaung_U,MMR010022,2017-2018,Letyezin,Medium,Hot,0,0,0,0
207,Mandalay,Nyaung_U,Kyaukpadaung,MMR010020,2017-2018,Letyezin,Medium,Hot,0,0,0,0
208,Mandalay,Nyaung_U,Ngathayauk,MMR010022703,2017-2018,Letyezin,Medium,Hot,0,0,0,0
209,Mandalay,Yamethin,Yamethin,MMR010023,2017-2018,Letyezin,Medium,Hot,0,0,0,0
