ST_NAME,TS_NAME,CP_NAME,ROC2014-15,ROCP2014-15,R2014-15,ROY2014-15,ROC2015-16,ROCP2015-16,R2015-16,ROY2015-16,ROC2016-17,ROCP2016-17,R2016-17,ROY2016-17,ROC2017-18,ROCP2017-18,R2017-18,ROY2017-18,ROC2018-19,ROCP2018-19,R2018-19,ROY2018-19
Shan,Nawnghkio,Zea Maize,61382,61382,75.5,4634341,64382,64382,76.8,4944538,64882,64882,75.8,4918055,69083,69083,76.8,5305421,64253,64226,76.5,4913289
Shan,Namtu,Zea Maize,10591,10591,71.99,762477,11789,11789,71.99,848746,12106,12106,72.04,872161,11000,11000,72.75,800250,13768,13736,72.85,1000600
Shan,Namhsan,Zea Maize,677,677,65,44005,677,677,65.25,44174,677,677,65.5,44344,677,677,65.56,44384,677,677,65.56,44384
Shan,Monton,Zea Maize,1710,1710,69.56,118955,1764,1764,70,126480,1764,1764,70,123480,1764,1764,70.12,123683,1770,1770,70,123900
Shan,Mongmit,Zea Maize,175,175,52.08,9114,75,75,59.49,4462,75,75,59.65,4474,125,125,59.65,7456,146,146,61.56,8988
Shan,Mabein,Zea Maize,250,250,58.5,14625,285,285,58.5,16673,292,292,58.5,17082,750,750,59,44250,830,830,61.2,50800
Shan,Laukkaing,Zea Maize,17224,17224,75.69,1303707,10963,10963,75.74,830340,18341,18341,75.7,1388354,18341,18341,75.7,1388384,18294,18294,69.63,1273758
Shan,Kone Kyann,Zea Maize,8666,8666,65.66,569012,2101,2101,75.29,158186,6543,6543,70.62,462067,6682,6682,75.11,501852,6704,6704,71.99,482602
Shan,Hopang,Zea Maize,9460,8317,76.49,636156,11636,11636,70.31,818137,9976,9159,61.17,560218,10057,9983,61.34,612318,10057,10057,61.68,620353
Shan,Wa,Zea Maize,1921,2921,59.52,173868,2548,2548,69.3,176583,1918,1918,68.73,161819,1917,1917,68.74,131771,1917,1917,68.74,131771
Shan,Matman,Zea Maize,285,285,59.5,16958,285,285,59.5,16958,290,290,59.52,17261,683,683,59.52,40652,683,683,59.52,40652
Shan,Wa,Zea Maize,,,,,,,,,631,631,71.04,44827,631,631,71.04,44827,631,631,71.04,44827
Shan,Keng Tung,Zea Maize,3422,3422,61.03,208859,3422,3422,60.94,208529,2804,2804,60.65,170072,3626,3626,60.78,220382,3692,3692,60.9,224836
Shan,Mongyang,Zea Maize,8956,8956,56.91,509717,8958,8958,56.92,509884,8961,8961,57.15,512155,9110,9110,57.37,522626,9272,9272,57.4,532233
Shan,Mongkhet,Zea Maize,2543,2543,57.01,144976,2530,2530,57.3,144969,2653,2653,57.17,151677,3053,3053,57.18,174571,3289,3289,57.2,188131
Shan,Mongla,Zea Maize,2432,2432,51.17,124449,2434,2434,51.17,124555,3000,3000,61.88,185637,2478,2478,51.45,127502,3720,3720,59.48,221277
Shan,Mongping,Zea Maize,2980,2980,61.73,183945,2950,2950,61.88,182550,2488,2488,51.16,127286,3000,3000,61.88,185639,1989,1989,53.15,105708
Shan,Mong Hsat,Zea Maize,4393,4393,54.05,237427,4398,4398,54.17,238246,4706,4706,54.12,254698,4711,4711,54.12,254936,4726,4726,54.11,255742
Shan,Mongton,Zea Maize,2596,2596,50.09,130044,2630,2630,50.08,131710,2643,2643,50.28,132899,2843,2843,50.33,143099,2843,2843,50.49,143533
Shan,Tachileik,Zea Maize,2549,2549,60.56,154372,2458,2458,60.49,148674,2351,2351,60.52,142277,2376,2376,60.56,143901,2386,2386,60.56,144504
Shan,Monghpyak,Zea Maize,2000,2000,75.23,150458,2000,2000,75.26,150461,2000,2000,75.03,150054,2000,2000,73.95,147898,2000,2000,73.97,147933
Shan,Mongyawng,Zea Maize,3890,3890,80.23,312084,3325,3325,79.59,264631,3325,3325,79.64,264811,3497,3497,76.96,269136,3325,3325,79.99,265972
